Object,Start,End,Volume,
TB1_T2Cell01_Nmito043_RSL,87,153,1.54868,
TB1_T2Cell01_Nmito044_RSL,69,93,0.737865,
TB1_T2Cell01_Nmito045_RSL,45,58,0.369634,
TB1_T2Cell01_Nmito046_RSL,60,70,0.300809,
TB1_T2Cell01_Nmito047_RSL,64,84,0.562318,
TB1_T2Cell01_Nmito048_RSL,52,93,0.527512,
TB1_T2Cell01_Nmito049_RSL,29,59,0.641809,
TB1_T2Cell01_Nmito050_RSL,81,105,0.227421,
TB1_T2Cell01_Nmito051_RSL,81,105,0.216735,
TB1_T2Cell01_Nmito052_RSL,96,153,1.71571,
TB1_T2Cell01_Nmito053_RSL,104,108,0.21486,
TB1_T2Cell01_Nmito054_RSL,98,107,0.316087,
TB1_T2Cell01_Nmito055_RSL,95,99,0.220858,
TB1_T2Cell01_Nmito056_RSL,100,111,0.386414,
TB1_T2Cell01_Nmito057_RSL,111,121,0.629722,
TB1_T2Cell01_Nmito058_RSL,117,125,0.797231,
TB1_T2Cell01_Nmito059_RSL,121,133,0.51774,
TB1_T2Cell01_Nmito060_RSL,127,133,0.296266,
TB1_T2Cell01_Nmito061_RSL,95,135,1.13087,
TB1_T2Cell01_Nmito062_RSL,99,110,0.322937,
TB1_T2Cell01_Nmito063_RSL,106,118,0.748268,
TB1_T2Cell01_Nmito064_LES,116,143,0.87142,
TB1_T2Cell01_Nmito065_LES,122,127,0.228951,
TB1_T2Cell01_Nmito066_LES,131,141,1.40976,
TB1_T2Cell01_Nmito067_LES,122,140,0.617602,
TB1_T2Cell01_Nmito068_LES,1,4,0.0600208,
TB1_T2Cell01_Nmito069_LES,1,13,0.408016,
TB1_T2Cell01_Nmito070_LES,1,13,0.279822,
TB1_T2Cell01_Nmito071_LES,187,189,0.0910613,
TB1_T2Cell01_Nmito072_LES,179,186,0.187452,
TB1_T2Cell01_Nmito073_LES,176,180,0.15617,
TB1_T2Cell01_Nmito074_LES,167,184,0.361731,
TB1_T2Cell01_Nmito075_LES,165,180,0.638267,
TB1_T2Cell01_Nmito076_LES,162,179,0.679031,
TB1_T2Cell01_Nmito077_LES,173,178,0.225493,
TB1_T2Cell01_Nmito078_LES,141,175,0.900942,
TB1_T2Cell01_Nmito079_LES,150,160,0.645145,
TB1_T2Cell01_Nmito080_LES,134,175,1.59792,
TB1_T2Cell01_Nmito081_LES,148,176,0.985273,
TB1_T2Cell01_Nmito082_LES,128,159,1.41274,
TB1_T2Cell01_Nmito083_LES,116,166,2.15359,
TB1_T2Cell01_Nmito084_LES,151,159,0.350356,
TB1_T2Cell01_Nmito085_LES,143,161,0.467189,
TB1_T2Cell01_Nmito086_LES,139,162,0.890461,
TB1_T2Cell01_Nmito087_LES,167,173,0.26555,
TB1_T2Cell01_Nmito088_LES,158,174,0.470583,
TB1_T2Cell01_Nmito089_LES,173,178,0.103473,
TB1_T2Cell01_Nmito090_LES,171,173,0.100142,
TB1_T2Cell01_Nmito091_LES,161,170,0.499881,
TB1_T2Cell01_Nmito092_LES,160,167,0.366314,
TB1_T2Cell01_Nmito093_LES,166,180,0.236921,
TB1_T2Cell01_Nmito094_LES,153,165,0.310068,
TB1_T2Cell01_Nmito095_LES,142,165,0.654447,
TB1_T2Cell01_Nmito097_LES,162,169,0.123096,
TB1_T2Cell01_Nmito098_LES,160,169,0.201774,
TB1_T2Cell01_Nmito099_LES,126,165,1.82691,
TB1_T2Cell01_Nmito100_LES,120,151,1.26292,
TB1_T2Cell01_Nmito101_LES,118,122,0.181198,
TB1_T2Cell01_Nmito102_LES,119,129,0.429108,
TB1_T2Cell01_Nmito103_LES,167,171,0.0989496,
TB1_T2Cell01_Nmito104_LES,164,169,0.113812,
TB1_T2Cell01_Nmito105_LES,161,168,0.198253,
TB1_T2Cell01_Nmito106_LES,148,164,0.918216,
TB1_T2Cell01_Nmito107_LES,131,158,0.643475,
TB1_T2Cell01_Nmito108_LES,139,146,0.428751,
TB1_T2Cell01_Nmito109_LES,131,149,0.822035,
TB1_T2Cell01_Nmito110_LES,149,155,0.11599,
TB1_T2Cell01_Nmito111_LES,142,148,0.200357,
TB1_T2Cell01_Nmito112_LES,147,149,0.0620237,
TB1_T2Cell01_Nmito114_LES,131,145,0.410489,
TB1_T2Cell01_Nmito115_LES,136,148,0.38456,
TB1_T2Cell01_Nmito116_LES,133,148,0.559449,
TB1_T2Cell01_Nmito117_LES,139,144,0.214482,
TB1_T2Cell01_Nmito118_LES,139,170,0.292272,
TB1_T2Cell01_Nmito119_LES,133,143,0.508441,
TB1_T2Cell01_Nmito120_LES,146,150,0.0867958,
TB1_T2Cell01_Nmito121_LES,144,147,0.120197,
TB1_T2Cell01_Nmito122_LES,139,142,0.110617,
TB1_T2Cell01_Nmito123_LES,131,139,0.386839,
TB1_T2Cell01_Nmito124_LES,125,141,0.255346,
TB1_T2Cell01_Nmito125_LES,134,140,0.277091,
TB1_T2Cell01_Nmito126_LES,128,141,0.385365,
TB1_T2Cell01_Nmito128_LES,132,158,0.667689,
TB1_T2Cell01_Nmito129_LES,137,146,0.109742,
TB1_T2Cell01_Nmito130_LES,132,141,0.400239,
TB1_T2Cell01_Nmito131_LES,134,140,0.151889,
TB1_T2Cell01_Nmito132_LES,122,138,0.702948,
TB1_T2Cell01_Nmito133_LES,131,139,0.146845,
TB1_T2Cell01_Nmito134_LES,129,139,0.700433,
TB1_T2Cell01_Nmito135_LES,116,140,0.906188,
TB1_T2Cell01_Nmito136_LES,112,117,0.326586,
TB1_T2Cell01_Nmito137_LES,128,138,0.239011,
TB1_T2Cell01_Nmito138_LES,126,144,0.287103,
TB1_T2Cell01_Nmito139_LES,134,139,0.110404,
TB1_T2Cell01_Nmito140_LES,127,140,0.309568,
TB1_T2Cell01_Nmito141_LES,120,132,0.287944,
TB1_T2Cell01_Nmito142_LES,122,134,0.336271,
TB1_T2Cell01_Nmito143_LES,125,140,0.320602,
TB1_T2Cell01_Nmito144_LES,112,136,0.526839,
TB1_T2Cell01_Nmito145_LES,131,139,0.180003,
TB1_T2Cell01_Nmito146_LES,121,128,0.334311,
TB1_T2Cell01_Nmito147_LES,113,131,0.752506,
TB1_T2Cell01_Nmito148_LES,126,133,0.201522,
TB1_T2Cell01_Nmito149_LES,131,135,0.142203,
TB1_T2Cell01_Nmito150_LES,122,128,0.149309,
TB1_T2Cell01_Nmito151_LES,108,127,0.745339,
Tb1_T2Cell01_Nmito152_LES,127,138,0.201471,
TB1_T2Cell01_Nmito153_LES,132,140,0.284343,
TB1_T2Cell01_Nmito154_LES,131,138,0.171786,
TB1_T2Cell01_Nmito156_LES,58,144,2.04603,
TB1_T2Cell01_Nmito157_LES,126,131,0.160774,
TB1_T2Cell01_Nmito158_LES,124,135,0.730628,
TB1_T2Cell01_Nmito159_LES,114,129,0.609101,
TB1_T2Cell01_Nmito160_LES,136,143,0.381718,
TB1_T2Cell01_Nmito161_LES,133,148,0.659476,
TB1_T2Cell01_Nmito162_LES,112,171,2.16782,
TB1_T2Cell01_Nmito163_LES,144,148,0.127965,
TB1_T2Cell01_Nmito164_LES,144,148,0.242803,
TB1_T2Cell01_Nmito165_LES,113,148,0.429698,
TB1_T2Cell01_Nmito166_LES,59,129,1.14607,
TB1_T2Cell01_Nmito167_LES,18,102,1.52718,
TB1_T2Cell01_Nmito168_LES,25,76,1.31098,
TB1_T2Cell01_Nmito169_LES,43,59,0.46685,
TB1_T2Cell01_Nmito170_LES,112,124,0.709313,
TB1_T2Cell01_Nmito171_LES,106,123,1.13005,
TB1_T2Cell01_Nmito172_LES,122,163,0.382181,
TB1_T2Cell01_Nmito173_LES,143,156,0.0773471,
TB1_T2Cell01_Nmito174_LES,143,165,0.37429,
TB1_T2Cell01_Nmito175_LES,160,165,0.0454656,
TB1_T2Cell01_Nmito176_LES,148,170,0.256271,
TB1_T2Cell01_Nmito177_LES,162,165,0.0175546,
TB1_T2Cell01_Nmito178_LES,153,163,0.267348,
TB1_T2Cell01_Nmito179_LES,147,156,0.18419,
TB1_T2Cell01_Nmito180_LES,134,162,0.325777,
TB1_T2Cell01_Nmito181_LES,149,163,0.185642,
TB1_T2Cell01_Nmito182_LES,152,163,0.117308,
TB1_T2Cell01_Nmito183_LES,148,166,0.15096,
TB1_T2Cell01_Nmito184_LES,150,161,0.110094,
TB1_T2Cell01_Nmito185_LES,125,146,0.137956,
TB1_T2Cell01_Nmito186_LES,118,129,0.335053,
TB1_T2Cell01_Nmito187_LES,108,113,0.109364,
TB1_T2Cell01_Nmito188_LES,107,121,0.173303,
